year,GDP (US$),GDP Growth (%),Inflation (%),Population,Life Expectancy,Unemployment (%),Exports (% of GDP),Imports (% of GDP),Education Expenditure (% of GDP)
2000,13760513969.314,3.83500000014033,11.833568543834398,24787054,65.456,12.317,24.662704263423,19.3913257156899,5.492239988767183
2001,11401421329.1974,4.1638382499889,11.833568543834398,25090283,65.853,11.3,29.6751060849085,27.1011715022435,5.492239988767183
2002,9687788512.80184,3.97348819235724,11.833568543834398,25399980,66.376,10.283,30.9204450887224,28.0340796220236,5.492239988767183
2003,10134453435.4603,4.23262738154364,11.833568543834398,25711259,66.852,9.248,38.2375863470134,32.221688338074,5.492239988767183
2004,12030023547.8807,7.44900060559664,11.833568543834398,26029350,67.203,8.162,41.7898866324117,34.8057825625969,5.492239988767183
2005,14307509838.8053,6.95000719569097,11.833568543834398,26356975,67.481,7.092,37.8090294786289,31.7162289460794,5.492239988767183
2006,17330833852.919,7.45141847621768,11.833568543834398,26699043,67.905,6.03,36.5136876387581,30.9576045330392,5.492239988767183
2007,22311393927.8817,9.4730053054454,11.833568543834398,27076008,68.483,4.99,39.6709294075913,34.7432635686414,5.492239988767183
2008,29549438883.8338,9.02916101784777,11.833568543834398,27494774,69.035,4.89,41.1685228048386,38.5794692300191,5.492239988767183
2009,33689223673.2577,8.05093332733966,11.833568543834398,27939328,69.517,5.04,34.6626309351177,34.0105112646732,5.492239988767183
2010,49765676402.4495,7.5971679610016,11.833568543834398,28385506,69.836,5.36,24.295717769182,24.973280030251,5.492239988767183
2011,60178909297.208,7.52513989422977,13.7797446476602,28823196,70.143,4.96,23.6870604752832,25.9672280176236,5.81876087188721
2012,67517349212.0609,7.10244488706317,13.2088026688373,29261903,70.411,4.87,19.2835384657875,24.9557806675221,6.02691507339478
2013,73180037914.9104,7.29655036969899,11.8414333622049,29724065,70.692,4.86,18.6457163309024,23.7321986417984,5.74190998077393
2014,80845385809.4529,6.8738384408164,9.28309356162695,30222994,70.973,5.09,16.0454807275169,20.3115739373955,5.71323013305664
2015,86196264755.3105,7.21877350820803,8.75188196737508,30749346,71.33,5.15,13.7735112287545,16.982680201966,5.49453353881836
2016,86138288644.171,5.93215079993293,8.130886695236,31284568,71.58,5.16,12.3330657085069,16.8592313302988,5.41523742675781
2017,69703222282.7278,4.39527463349263,13.8757425441635,31819178,71.737,5.83,18.4793085297743,24.0801996597547,5.0333194732666
2018,58695899092.1083,5.55919572919288,17.5241796514055,32373490,71.999,5.389,24.1769774001867,39.9611620983855,4.83589315414429
2019,67293639798.3996,6.77992399655236,14.5257359560687,32964701,72.093,4.932,25.3501332976894,39.6137894655513,6.29534673690796
2020,66443265418.3086,1.56334277260515,12.8677297362606,33586372,71.461,5.293,21.9154164873001,34.136114347697,4.94803667068481
2021,77340060003.0347,8.03468312640049,10.8492397508122,34243696,71.681,5.364,21.3073855956297,36.1515861016925,5.36828899383545
2022,90095926567.4359,6.00134232203442,11.4466436998836,34938955,72.147,4.49,23.2670310407511,39.5742214971006,5.23477172851562
2023,102641879248.764,6.29141635082311,9.95659071258018,35652307,72.388,4.46,24.4247464665454,41.6803978374918,5.47287607192993
2024,114965293466.611,6.49999999997677,9.62825465956682,36361859,69.693,4.488,22.7657914961328,37.9616488851693,5.492239988767183
