inflation,gdp,population,exports,imports,education,unemployment,year
11.833568543834398,13760513969.314,24787054,24.662704263423,19.3913257156899,5.492239988767183,12.317,2000
11.833568543834398,11401421329.1974,25090283,29.6751060849085,27.1011715022435,5.492239988767183,11.3,2001
11.833568543834398,9687788512.80184,25399980,30.9204450887224,28.0340796220236,5.492239988767183,10.283,2002
11.833568543834398,10134453435.4603,25711259,38.2375863470134,32.221688338074,5.492239988767183,9.248,2003
11.833568543834398,12030023547.8807,26029350,41.7898866324117,34.8057825625969,5.492239988767183,8.162,2004
11.833568543834398,14307509838.8053,26356975,37.8090294786289,31.7162289460794,5.492239988767183,7.092,2005
11.833568543834398,17330833852.919,26699043,36.5136876387581,30.9576045330392,5.492239988767183,6.03,2006
11.833568543834398,22311393927.8817,27076008,39.6709294075913,34.7432635686414,5.492239988767183,4.99,2007
11.833568543834398,29549438883.8338,27494774,41.1685228048386,38.5794692300191,5.492239988767183,4.89,2008
11.833568543834398,33689223673.2577,27939328,34.6626309351177,34.0105112646732,5.492239988767183,5.04,2009
11.833568543834398,49765676402.4495,28385506,24.295717769182,24.973280030251,5.492239988767183,5.36,2010
13.7797446476602,60178909297.208,28823196,23.6870604752832,25.9672280176236,5.81876087188721,4.96,2011
13.2088026688373,67517349212.0609,29261903,19.2835384657875,24.9557806675221,6.02691507339478,4.87,2012
11.8414333622049,73180037914.9104,29724065,18.6457163309024,23.7321986417984,5.74190998077393,4.86,2013
9.28309356162695,80845385809.4529,30222994,16.0454807275169,20.3115739373955,5.71323013305664,5.09,2014
8.75188196737508,86196264755.3105,30749346,13.7735112287545,16.982680201966,5.49453353881836,5.15,2015
8.130886695236,86138288644.171,31284568,12.3330657085069,16.8592313302988,5.41523742675781,5.16,2016
13.8757425441635,69703222282.7278,31819178,18.4793085297743,24.0801996597547,5.0333194732666,5.83,2017
17.5241796514055,58695899092.1083,32373490,24.1769774001867,39.9611620983855,4.83589315414429,5.389,2018
14.5257359560687,67293639798.3996,32964701,25.3501332976894,39.6137894655513,6.29534673690796,4.932,2019
12.8677297362606,66443265418.3086,33586372,21.9154164873001,34.136114347697,4.94803667068481,5.293,2020
10.8492397508122,77340060003.0347,34243696,21.3073855956297,36.1515861016925,5.36828899383545,5.364,2021
11.4466436998836,90095926567.4359,34938955,23.2670310407511,39.5742214971006,5.23477172851562,4.49,2022
9.95659071258018,102641879248.764,35652307,24.4247464665454,41.6803978374918,5.47287607192993,4.46,2023
9.62825465956682,114965293466.611,36361859,22.7657914961328,37.9616488851693,5.492239988767183,4.488,2024
